id,baseMean,log2FC,lfcSE,stat,pvalue,padj
ENSMUSG00000001435,5500.358552,-0.07868169,0.238025147,-0.330560411,0.740976554,0.867261297
ENSMUSG00000001436,561.3760521,0.280126108,0.166173718,1.685742554,0.091845397,0.284844056
ENSMUSG00000001440,12829.77968,0.256779358,0.125289533,2.049487705,0.040414449,0.178189329
ENSMUSG00000001441,2500.99206,-0.299503985,0.157643003,-1.899887595,0.057447872,0.217115327
ENSMUSG00000001444,73.24985908,-0.86768577,0.373192894,-2.325032935,0.020070199,0.122980534
ENSMUSG00000001445,1109.501947,0.056225736,0.075919699,0.740594821,0.458939149,0.680480691
ENSMUSG00000001467,1447.124862,0.982776751,0.473084236,2.077382157,0.037766302,0.172507213
ENSMUSG00000001472,1195.152556,-0.434765588,0.200767194,-2.165521068,0.030347804,0.153624217
ENSMUSG00000001473,3764.527203,0.207743209,0.147169514,1.411591322,0.158070329,0.38192478
ENSMUSG00000001482,807.237464,-0.076399477,0.1221899,-0.625251984,0.531805688,0.730880303
ENSMUSG00000001493,103.6468362,-0.775834631,0.254155943,-3.052592912,0.002268735,0.036503915
ENSMUSG00000001494,0.673807869,1.921357076,1.681537201,1.142619429,0.253196635,NA
ENSMUSG00000001496,1.055559847,-4.179220207,4.199072564,-0.995272204,0.319603893,NA
ENSMUSG00000001497,360.5550605,0.50012275,0.179116081,2.792171124,0.005235566,0.058408664
ENSMUSG00000001504,660.1489836,-0.448260192,0.213586754,-2.098726552,0.035841013,0.168483666
ENSMUSG00000001506,19065.67682,0.607757214,0.260869309,2.329738273,0.019819988,0.122109975
ENSMUSG00000001507,2478.566412,0.801414335,0.209583036,3.823851165,0.000131383,0.006088415
ENSMUSG00000001508,11.38936521,-0.867638283,0.648141928,-1.338654768,0.180683088,0.411503057
ENSMUSG00000001510,43.62441149,2.018235547,1.443806654,1.397857214,0.162155949,0.386830149
ENSMUSG00000001517,2786.420567,0.685642772,0.167276327,4.098863136,4.15E-05,0.002793043
ENSMUSG00000001518,368.3270901,0.120594858,0.14208496,0.848751744,0.396019447,0.629228077
ENSMUSG00000001520,34.69141271,0.619211482,0.31872869,1.94275414,0.052045871,0.205780797
ENSMUSG00000001521,1484.189499,0.068475163,0.149596511,0.457732355,0.64714474,0.808240732
ENSMUSG00000001524,430.6749293,-0.306160256,0.213873723,-1.4315001,0.152286938,0.374426024
ENSMUSG00000001525,21897.73785,0.154313438,0.161548694,0.95521316,0.339469912,0.578875928
ENSMUSG00000001542,814.9835294,-0.550035071,0.19591087,-2.807578116,0.004991557,0.057058227
ENSMUSG00000001552,617.851334,-0.712429323,0.615844608,-1.156832932,0.247340624,0.487314049
ENSMUSG00000001555,2854.278079,0.09719133,0.16907734,0.574833561,0.565403867,0.755280762
ENSMUSG00000001558,11.26610967,0.114541547,0.478952701,0.239150019,0.810989257,0.906393013
ENSMUSG00000001566,0.044565241,0,4.279685918,0,1,NA
ENSMUSG00000001569,1511.470012,0.220718803,0.10736798,2.055722781,0.039809245,0.176385749
ENSMUSG00000001576,2512.901148,0.244302879,0.180291567,1.355043295,0.175403763,0.404811401
ENSMUSG00000001583,22.40837981,-0.76012753,0.894575695,-0.849707336,0.395487819,0.62896497
ENSMUSG00000001588,510.8148944,-1.004120437,0.261105601,-3.845648778,0.000120234,0.005673963
ENSMUSG00000001604,33.08475362,-0.266001453,0.382528482,-0.695376856,0.486819161,0.700730594
ENSMUSG00000001622,5.36152815,0.186032334,1.138339286,0.163424329,0.870184349,NA
ENSMUSG00000001627,1818.356463,-0.345206572,0.13942239,-2.475976571,0.01328723,0.097610509
